term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,variable
educ20033,0.9081592412439333,0.011139877425657176,-8.647809689197905,5.24972839032167e-18,0.8885452539634885,0.9282061929629607,2013,educ2003
educ20034,0.8618569431130318,0.014028073958760351,-10.597747188521987,3.05244567768012e-26,0.8384829714142222,0.8858824993658548,2013,educ2003
educ20035,0.8564336856214606,0.01760275540671623,-8.804211924678823,1.317751924928444e-18,0.8273894385535071,0.8864974867814015,2013,educ2003
educ20036,0.848714686485556,0.01472527702819162,-11.139498914546785,8.057139078377678e-29,0.8245695796340947,0.8735668121250827,2013,educ2003
educ20037,0.8563177957324993,0.020124485826425554,-7.707710715201708,1.2809469908655112e-14,0.8231986723443065,0.8907693755140907,2013,educ2003
educ20038,0.8288900313741316,0.028941495378481206,-6.484384525881588,8.909473012005197e-11,0.7831796934817841,0.8772682563524474,2013,educ2003
educ20039,1.1052680588628345,0.025539204660364575,3.9189901990845324,8.892072996661498e-5,1.0513037405556247,1.1620024116881589,2013,educ2003
race5Black,0.9197292966590596,0.04268981414571358,-1.9600904026713761,0.049985224797558264,0.845905243706139,0.9999961407342076,2014,race5
race5Hispanic,0.8027891108944554,0.04362331523248017,-5.035454662020828,4.767159552840558e-7,0.7370018151425421,0.8744488050495024,2014,race5
race5Other,0.7705060669010138,0.04620290224605889,-5.642670429777005,1.6743265982096045e-8,0.7037969141384199,0.8435382241737238,2014,race5
race5White,1.0477783327355594,0.04192589703511454,1.113203348328946,0.26562110496025665,0.9651201194963545,1.137515851522206,2014,race5
educ20032,0.8801506064356813,0.01416835285318662,-9.010379950247358,2.0534382136520414e-19,0.8560451027768267,0.9049349006217665,2014,educ2003
educ20033,0.9142982168641322,0.010985758446167027,-8.155876039610318,3.4665786173349934e-16,0.8948219038299963,0.934198443045432,2014,educ2003
educ20034,0.8712130700707629,0.013710081486578941,-10.056009166245618,8.6431295091487e-24,0.8481137908981113,0.8949414826262486,2014,educ2003
educ20035,0.8742555194542021,0.01682981422835729,-7.984793407466356,1.407578411437056e-15,0.8458873996394478,0.9035750072904771,2014,educ2003
educ20036,0.849430677554309,0.014378010423416883,-11.34989753205711,7.424966321991207e-30,0.825827103266513,0.8737088830293789,2014,educ2003
educ20037,0.8619767694867368,0.01919517363677475,-7.737724130215009,1.0121215862370466e-14,0.8301494795520024,0.8950242931378575,2014,educ2003
educ20038,0.7941603157780093,0.027835143184636903,-8.279818341397217,1.2336332333746853e-16,0.7519940932999533,0.8386909056545732,2014,educ2003
educ20039,1.0997437263658207,0.02544711868265996,3.7362649113947963,1.8677390102824805e-4,1.0462379485150328,1.1559858494882376,2014,educ2003
race5Black,0.8740710588719524,0.04151020735631578,-3.2424218558832103,0.0011851844557480345,0.8057726808069801,0.9481584994820016,2015,race5
race5Hispanic,0.7587063238097242,0.04236971185619564,-6.517403341105263,7.153488706523493e-11,0.6982450684909598,0.8244029378294405,2015,race5
race5Other,0.7308864560214978,0.04480513034117919,-6.996903163312141,2.6168201649963025e-12,0.6694390114387941,0.797974128289214,2015,race5
race5White,0.9726839085632999,0.040756362782400975,-0.6795530909799619,0.4967874803523553,0.8980059513535749,1.0535720665903041,2015,race5
educ20032,0.8952430926558577,0.013753756176108207,-8.045801035309896,8.568310276083484e-16,0.8714320833709968,0.9197047139321552,2015,educ2003
educ20033,0.9043818306089548,0.01073827674089934,-9.359381509684678,8.020480199404464e-21,0.8855461982469759,0.9236180982479841,2015,educ2003
educ20034,0.8600431944971066,0.013304548308880206,-11.332415151276836,9.066959429833084e-30,0.8379058132371751,0.8827654429835278,2015,educ2003
educ20035,0.8883512803902728,0.016226402374834636,-7.296012107527588,2.9642224221170947e-13,0.8605429283932231,0.9170582562854187,2015,educ2003
educ20036,0.8458596814350797,0.013837285149087004,-12.097878486756203,1.0837585040665044e-33,0.823227348187133,0.8691142273796456,2015,educ2003
educ20037,0.8450598870986546,0.018265392711329213,-9.216762239432587,3.062065384835111e-20,0.815341731194739,0.8758612315068988,2015,educ2003
educ20038,0.8097389911388283,0.026437300939472802,-7.98278602225808,1.4306679457455968e-15,0.7688492009909013,0.8528034274152637,2015,educ2003
educ20039,1.0721496812941536,0.017651156535596943,3.946805459116997,7.920085860074492e-5,1.035691597971642,1.1098911503679394,2015,educ2003
race5Black,0.923141120884156,0.041580814888878305,-1.923318787308051,0.054440026558751825,0.8508907307518229,1.001526398476906,2016,race5
race5Hispanic,0.7852261843245113,0.04239834045563919,-5.702663528954587,1.1794966407503645e-8,0.7226110147992936,0.8532670384495695,2016,race5
race5Other,0.7799247957180019,0.04466852189610009,-5.56449528979487,2.629122298832072e-8,0.7145458716600215,0.8512857062103156,2016,race5
race5White,1.0152562829262581,0.040834724974798516,0.37078922719139706,0.7107945257836177,0.9371658748392938,1.0998536627232567,2016,race5
educ20032,0.9219518073367385,0.01364523762222774,-5.955361770990862,2.5949715177540553e-9,0.8976213200328109,0.9469417850061856,2016,educ2003
educ20033,0.9280952832994465,0.010682770385382815,-6.985161414648146,2.8452865944695015e-12,0.908864641209883,0.9477328260191021,2016,educ2003
educ20034,0.8828344062612805,0.013176356994803164,-9.457669626910011,3.1488236714842128e-21,0.860326516835018,0.9059311477995161,2016,educ2003
educ20035,0.8968951902519486,0.015853099736183658,-6.864037337757692,6.694112180609059e-12,0.8694553098888915,0.9252010691611935,2016,educ2003
educ20036,0.8606818339422991,0.01360842406311635,-11.024816172474395,2.9011062074014557e-28,0.8380287385659507,0.8839472743451535,2016,educ2003
educ20037,0.845250301253994,0.01792516067183527,-9.379133836730942,6.651689958685902e-21,0.8160694674987667,0.8754745768883302,2016,educ2003
educ20038,0.8356989632506093,0.02553502746394561,-7.029043646221915,2.079539270218112e-12,0.7949027678642558,0.8785889110118265,2016,educ2003
educ20039,1.1585756731682244,0.024725443598019852,5.953033041806959,2.6321812964924745e-9,1.103767704649824,1.2161051503885552,2016,educ2003
race5Black,0.8973617250280157,0.04074305082022371,-2.6580296548782787,0.007859897661239536,0.8284882562593728,0.9719607483405966,2017,race5
race5Hispanic,0.7768524244445556,0.04154955417599294,-6.077198217668131,1.2230054996236424e-9,0.7160953125687113,0.8427644739085993,2017,race5
race5Other,0.7713755287173061,0.04378527197117906,-5.928476522656313,3.0575811745680145e-9,0.7079377662117612,0.8404979006670464,2017,race5
race5White,0.9812830456974168,0.03999158816611451,-0.4724576886077855,0.6366001358468671,0.9073038802511779,1.0612942771793556,2017,race5
educ20032,0.9095503482437781,0.01386381690532715,-6.838298936474879,8.013903742766094e-12,0.8851678370827571,0.9346044911853624,2017,educ2003
educ20033,0.9257795551147432,0.010847878382821316,-7.109144423149762,1.1676451324128318e-12,0.9063035583064843,0.9456740810661339,2017,educ2003
educ20034,0.8801335382506097,0.013229731135131848,-9.651113367779026,4.862490177783071e-22,0.8576047859619406,0.9032541070589534,2017,educ2003
educ20035,0.8869370271113463,0.015897779959265897,-7.547047126401033,4.4523751252573776e-14,0.8597265174461055,0.9150087546420562,2017,educ2003
educ20036,0.8676585003547524,0.013641172561680676,-10.406515559121246,2.3154195084080684e-25,0.8447675546441353,0.8911697295890985,2017,educ2003
educ20037,0.8465940263904433,0.01780846687656875,-9.351394933343252,8.649928253908966e-21,0.8175537721871091,0.8766658168582832,2017,educ2003
educ20038,0.8246931090737497,0.02525268834882257,-7.632611157735607,2.3004595119605187e-14,0.7848683988602188,0.8665385498274513,2017,educ2003
educ20039,1.0869789458369281,0.025406775560821767,3.2826770440258195,0.001028263941056637,1.0341759838972278,1.1424779216398573,2017,educ2003
race5Black,0.9562013134671675,0.041594789625588914,-1.0767408505238445,0.281596056909369,0.8813392998512559,1.037422196004021,2018,race5
race5Hispanic,0.7900507528003967,0.04238582467417896,-5.559832640865333,2.7003346480805588e-8,0.7270687000593681,0.858488602176805,2018,race5
race5Other,0.8276814359136996,0.04450145138969623,-4.249904934706425,2.138612615531037e-5,0.7585475576258273,0.9031161625519134,2018,race5
race5White,1.0252247199329254,0.04086716037308797,0.6095805848154688,0.542139676034161,0.9463074082868073,1.1107233412284367,2018,race5
educ20032,0.9326957475929606,0.01415999728329842,-4.920638832753678,8.626218458120988e-7,0.9071659977193488,0.9589439636902269,2018,educ2003
educ20033,0.9427715998342849,0.01103338502837109,-5.341174212253819,9.234645633886653e-8,0.9226026216780989,0.9633814911965539,2018,educ2003
educ20034,0.9052385163860581,0.013394907677769342,-7.432437638517972,1.0661437090712117e-13,0.8817816331977278,0.9293193923501459,2018,educ2003
educ20035,0.9292159988719321,0.015868950734681603,-4.626270606188706,3.723087977308327e-6,0.9007593008133422,0.9585716980994986,2018,educ2003
educ20036,0.907871337562663,0.0137179483821806,-7.04570439017981,1.845256296044593e-12,0.8837864764750004,0.9326125568873579,2018,educ2003
educ20037,0.8742639088338533,0.01770122614190219,-7.59116869312982,3.1703288478174804e-14,0.8444519879741533,0.9051282881376113,2018,educ2003
educ20038,0.8572681120920601,0.02526714019535747,-6.095053042747835,1.0940116975239289e-9,0.8158472342184505,0.9007919438666706,2018,educ2003
educ20039,1.1191868635460331,0.025493650233795094,4.416880513658142,1.0013554668167937e-5,1.0646380183165634,1.1765306272967988,2018,educ2003
race5Black,0.9591857200582341,0.04091044043536491,-1.0185801541527495,0.3084023299991399,0.8852767013235363,1.03926517459245,2019,race5
race5Hispanic,0.7797846975252941,0.041670573273160746,-5.969138571352393,2.3850948251925945e-9,0.7186277776405369,0.8461462156264893,2019,race5
race5Other,0.8318464484327973,0.04369587942540654,-4.213381554206006,2.5157554250357012e-5,0.7635693429084627,0.9062287796083143,2019,race5
race5White,0.9896378507573722,0.04019471950965649,-0.2591437437597278,0.7955243346255523,0.9146645798318387,1.0707565344136654,2019,race5
educ20032,0.9473491554511451,0.014354050525939252,-3.768104152343039,1.644920739578812e-4,0.9210679228525606,0.9743802819172326,2019,educ2003
educ20033,0.9522452721045606,0.011237609581453435,-4.354363644151049,1.3345401707233162e-5,0.931500685167127,0.9734518424780315,2019,educ2003
educ20034,0.9143450127838285,0.013493632873890972,-6.636263480519974,3.217345259385019e-11,0.8904798328602981,0.9388497881162219,2019,educ2003
educ20035,0.9301786786389605,0.015948010973589413,-4.538408196486719,5.668046164312068e-6,0.9015527853712698,0.9597134945772587,2019,educ2003
educ20036,0.8995846672355094,0.013837654537835357,-7.647401713417279,2.0508088734548317e-14,0.8755142018981419,0.9243169005948021,2019,educ2003
educ20037,0.8669711677178935,0.017619902192638585,-8.101608988587063,5.423702457985103e-16,0.8375414145643255,0.8974350313710963,2019,educ2003
educ20038,0.8502889605912654,0.02482926518842979,-6.531769361733308,6.499719544613638e-11,0.8099000828736157,0.8926919897799253,2019,educ2003
educ20039,1.0957275158107735,0.02556956194518399,3.5752877132003222,3.4984295079239604e-4,1.042167000040063,1.152040689120549,2019,educ2003
race5Black,0.9205484761864735,0.03816292013970991,-2.1692684025927407,0.030062312646256032,0.8542042541753336,0.9920455123784707,2020,race5
race5Hispanic,0.7281448038069882,0.038896909907023505,-8.156312287910707,3.4540865859811185e-16,0.6746958463535185,0.7858279522196919,2020,race5
race5Other,0.8012659631992767,0.04090735077922622,-5.416198894713509,6.087937758080012e-8,0.7395297589867944,0.8681559274386539,2020,race5
race5White,0.9694210665750759,0.037463849779128484,-0.8289651071431701,0.40712415192024226,0.9007879760067979,1.0432834688642263,2020,race5
educ20032,0.9721080193355278,0.01443235962733253,-1.9600640798256936,0.04998830099571813,0.9449948752091187,0.9999990751773384,2020,educ2003
educ20033,0.9760284976680692,0.01126946820366335,-2.1530292402816613,0.03131638058166798,0.954706178584498,0.9978270274448359,2020,educ2003
