period,cluster,sum_garb_k,sum_n_cert,sum_N_garbage,num_RI_weighted,prop_garbage,RI_cluster,w,num,den,philips_cstd,z_philips_cstd,z_RI_cluster,z_prop_garbage,direction_score
1999_2005,06CS008,12861,47296,3238,5068.915606427088,0.27192574424898514,1.5654464504098482,NA,52.23990361194025,1,52.23990361194025,-0.24210835281449564,0.5797168781693234,0.19439710962273066,0.17733521165918611
1999_2005,06CS010,1695,6341,415,641.8589087193725,0.2673079955842927,1.5466479728177651,NA,51.46467386745537,1,51.46467386745537,-0.6319051179501471,0.5390990743988971,0.2958079782012117,0.06766731154998723
1999_2005,06CS011,7959,35405,1494,4241.278021136722,0.22479875723767828,2.838874177467685,NA,52.39078436281116,1,52.39078436281116,-0.1662433217974018,3.3312076454449904,1.2293578736949191,1.464774065780836
1999_2005,06CS012,1467,5255,357,593.2565630522917,0.279162702188392,1.6617830897823296,NA,51.63322491065099,1,51.63322491065099,-0.5471552075328832,0.7878711127218972,0.03546550814500809,0.09206047111134073
1999_2005,06CS014,93552,419823,17053,50166.7518283784,0.22283676692320334,2.9418138643275906,NA,52.50611575469123,1,52.50611575469123,-0.10825302434910804,3.5536290612529204,1.2724453512475162,1.5726071293837762
1999_2005,06CS015,1459,6374,297,740.1646012595209,0.22889865076874805,2.4921367045775114,NA,52.357450941935056,1,52.357450941935056,-0.18300384952591972,2.5820132192092258,1.13931967667391,1.1794430154524054
1999_2005,06CS016,3248,12757,675,1519.5826962114716,0.2546053147291683,2.251233624016995,NA,52.32229103066799,1,52.32229103066799,-0.20068276312780353,2.0614947886093384,0.5747729007928145,0.8118616420914497
1999_2005,06CS018,1715,5809,432,647.2757362826952,0.2952315372697538,1.4983234636173501,NA,52.10940578489482,1,52.10940578489482,-0.30772455394896187,0.43468447899404083,-0.31742388471106686,-0.06348798655532929
1999_2005,06CS019,2515,9938,590,1032.3521697107783,0.2530690279734353,1.7497494401877598,NA,52.64775835461381,1,52.64775835461381,-0.03703306968661883,0.9779396936304425,0.6085114573053699,0.5164726937497313
1999_2005,06CS021,4344,16743,979,1991.1532315905306,0.259451711162874,2.03386438364712,NA,51.83365404552867,1,51.83365404552867,-0.44637653002461763,1.5918258429289438,0.46834067428910486,0.5379299957311438
1999_2005,06CS022,2470,8843,485,1045.0084848670913,0.2793169738776433,2.154656669829054,NA,50.69700055865736,1,50.69700055865736,-1.0179023975685657,1.8528213066884793,0.03207753120211692,0.28899881344067685
1999_2005,06CS023,1600,6483,301,757.2317793292956,0.2467993213018664,2.5157201971072944,NA,50.43621239158674,1,50.43621239158674,-1.1490304723528066,2.6329699877615615,0.7462011510207475,0.7433802221431675
1999_2005,06CS024,26156,118039,5547,13780.179885570935,0.22158778030989756,2.4842581369336463,NA,51.922891952303914,1,51.922891952303914,-0.4015064155380005,2.5649900260818574,1.2998744788366139,1.154452696460157
1999_2005,06CS025,3550,14766,733,1693.1701011801006,0.24041717459027495,2.309918282646795,NA,51.179887993684176,1,51.179887993684176,-0.7750995879018936,2.188294522092199,0.8863601523900636,0.7665183621934565
1999_2005,06CS026,19329,91071,4466,10509.75207540321,0.21224099878117073,2.3532808050611758,NA,52.18587267509228,1,52.18587267509228,-0.2692758919219932,2.281987770270966,1.5051401401076396,1.1726173394855375
