county_ihme,cluster,period
31013,1999-2004_C1,1999-2004
23019,1999-2004_C1,1999-2004
40049,1999-2004_C1,1999-2004
51053,1999-2004_C1,1999-2004
48487,1999-2004_C1,1999-2004
39033,1999-2004_C1,1999-2004
48181,1999-2004_C1,1999-2004
51199,1999-2004_C1,1999-2004
15005,1999-2004_C12,1999-2004
26057,1999-2004_C1,1999-2004
08101,1999-2004_C1,1999-2004
53021,1999-2004_C1,1999-2004
13157,1999-2004_C1,1999-2004
36049,1999-2004_C1,1999-2004
21207,1999-2004_C1,1999-2004
01113,1999-2004_C1,1999-2004
12021,1999-2004_C1,1999-2004
01083,1999-2004_C1,1999-2004
25003,1999-2004_C1,1999-2004
45047,1999-2004_C1,1999-2004
21199,1999-2004_C1,1999-2004
13083,1999-2004_C1,1999-2004
33003,1999-2004_C1,1999-2004
51041,1999-2004_C1,1999-2004
50005,1999-2004_C1,1999-2004
