cluster,period,z_overd,z_RI,z_garb,z_phil,has_dq,has_ph,ready,reason
C1197,2006_2012,NA,NA,NA,-0.001798641013214607,0,1,0,missing_dq
C1198,2006_2012,NA,NA,NA,-0.626309860956893,0,1,0,missing_dq
C1199,2006_2012,NA,NA,NA,1.4512824581656933,0,1,0,missing_dq
C12,2006_2012,NA,NA,NA,1.5662325747350838,0,1,0,missing_dq
C120,2006_2012,NA,NA,NA,-1.0815372487941586,0,1,0,missing_dq
C1200,2006_2012,NA,NA,NA,0.6740874863263517,0,1,0,missing_dq
C1201,2006_2012,NA,NA,NA,-0.3189080722076834,0,1,0,missing_dq
C1202,2006_2012,NA,NA,NA,-0.6607705476039414,0,1,0,missing_dq
C1203,2006_2012,NA,NA,NA,-1.4490122384340278,0,1,0,missing_dq
C1204,2006_2012,NA,NA,NA,-1.4249322653147236,0,1,0,missing_dq
C1205,2006_2012,NA,NA,NA,0.05249669850950604,0,1,0,missing_dq
C1206,2006_2012,NA,NA,NA,-1.223475570013579,0,1,0,missing_dq
C1207,2006_2012,NA,NA,NA,-0.005488584589588725,0,1,0,missing_dq
C1209,2006_2012,NA,NA,NA,-0.681285465188831,0,1,0,missing_dq
C121,2006_2012,NA,NA,NA,0.9730999928574985,0,1,0,missing_dq
C1210,2006_2012,NA,NA,NA,-1.040712078575659,0,1,0,missing_dq
C1211,2006_2012,NA,NA,NA,-0.24953244177516845,0,1,0,missing_dq
C1212,2006_2012,NA,NA,NA,-0.5614063196019781,0,1,0,missing_dq
C1213,2006_2012,NA,NA,NA,1.414072756219077,0,1,0,missing_dq
C1215,2006_2012,NA,NA,NA,0.3948945507860362,0,1,0,missing_dq
C1216,2006_2012,NA,NA,NA,-0.6080031331641582,0,1,0,missing_dq
C1217,2006_2012,NA,NA,NA,-0.17612296383052162,0,1,0,missing_dq
C1218,2006_2012,NA,NA,NA,0.7005057684987307,0,1,0,missing_dq
C1219,2006_2012,NA,NA,NA,-1.6279450419683632,0,1,0,missing_dq
C122,2006_2012,NA,NA,NA,0.3370737550102722,0,1,0,missing_dq
C1220,2006_2012,NA,NA,NA,-0.13538403873538726,0,1,0,missing_dq
C1221,2006_2012,NA,NA,NA,0.6403271418216596,0,1,0,missing_dq
C1222,2006_2012,NA,NA,NA,-1.9547442094973697,0,1,0,missing_dq
C1224,2006_2012,NA,NA,NA,1.236675904169839,0,1,0,missing_dq
C1225,2006_2012,NA,NA,NA,1.886842712667851,0,1,0,missing_dq
C1226,2006_2012,NA,NA,NA,-0.034008804332206606,0,1,0,missing_dq
C1227,2006_2012,NA,NA,NA,0.3644204169489282,0,1,0,missing_dq
C1228,2006_2012,NA,NA,NA,-1.609332559350231,0,1,0,missing_dq
C1229,2006_2012,NA,NA,NA,-0.716440831738679,0,1,0,missing_dq
C123,2006_2012,NA,NA,NA,1.3831988197837743,0,1,0,missing_dq
C1230,2006_2012,NA,NA,NA,-1.2103947172678604,0,1,0,missing_dq
C1231,2006_2012,NA,NA,NA,-1.0785747571606001,0,1,0,missing_dq
C1232,2006_2012,NA,NA,NA,0.9008319162587465,0,1,0,missing_dq
C1233,2006_2012,NA,NA,NA,-0.7266477689768959,0,1,0,missing_dq
C1234,2006_2012,NA,NA,NA,-0.6339252031540915,0,1,0,missing_dq
C1235,2006_2012,NA,NA,NA,0.0723613482887862,0,1,0,missing_dq
C1236,2006_2012,NA,NA,NA,1.4371327338342739,0,1,0,missing_dq
C1238,2006_2012,NA,NA,NA,0.8464278997740884,0,1,0,missing_dq
C1239,2006_2012,NA,NA,NA,-0.6698527417550016,0,1,0,missing_dq
C124,2006_2012,NA,NA,NA,1.1629211614582333,0,1,0,missing_dq
C1240,2006_2012,NA,NA,NA,0.5848194268782578,0,1,0,missing_dq
C1241,2006_2012,NA,NA,NA,-1.5533268506399565,0,1,0,missing_dq
C1242,2006_2012,NA,NA,NA,-0.3930077109089007,0,1,0,missing_dq
C1243,2006_2012,NA,NA,NA,0.32333244247789156,0,1,0,missing_dq
C1244,2006_2012,NA,NA,NA,-2.4090214798753706,0,1,0,missing_dq
C1245,2006_2012,NA,NA,NA,-1.1334211420406126,0,1,0,missing_dq
C1246,2006_2012,NA,NA,NA,-1.510150031235142,0,1,0,missing_dq
C1247,2006_2012,NA,NA,NA,-0.11741905291618525,0,1,0,missing_dq
C1248,2006_2012,NA,NA,NA,1.4286990027775655,0,1,0,missing_dq
C1249,2006_2012,NA,NA,NA,0.13085249203330737,0,1,0,missing_dq
C125,2006_2012,NA,NA,NA,0.5167346898011308,0,1,0,missing_dq
C1250,2006_2012,NA,NA,NA,-0.621676583871857,0,1,0,missing_dq
C1251,2006_2012,NA,NA,NA,-0.8306510420111963,0,1,0,missing_dq
C1252,2006_2012,NA,NA,NA,-1.2306407854294648,0,1,0,missing_dq
C1253,2006_2012,NA,NA,NA,-0.14640497920686096,0,1,0,missing_dq
C1254,2006_2012,NA,NA,NA,-0.6493453598062303,0,1,0,missing_dq
C1255,2006_2012,NA,NA,NA,-1.7192972107414517,0,1,0,missing_dq
C1256,2006_2012,NA,NA,NA,-1.1483335302915536,0,1,0,missing_dq
C1257,2006_2012,NA,NA,NA,0.5691138244715058,0,1,0,missing_dq
C1258,2006_2012,NA,NA,NA,-0.17956595182739352,0,1,0,missing_dq
