period,cluster,issue,z_sum
1999_2005,C1550,geom_without_data,NA
1999_2005,C1551,geom_without_data,NA
1999_2005,C1553,geom_without_data,NA
1999_2005,C1554,geom_without_data,NA
1999_2005,C1555,geom_without_data,NA
1999_2005,C1556,geom_without_data,NA
1999_2005,C1558,geom_without_data,NA
1999_2005,C1559,geom_without_data,NA
1999_2005,C156,geom_without_data,NA
1999_2005,C1561,geom_without_data,NA
1999_2005,C1564,geom_without_data,NA
1999_2005,C1565,geom_without_data,NA
1999_2005,C1569,geom_without_data,NA
1999_2005,C157,geom_without_data,NA
1999_2005,C1571,geom_without_data,NA
1999_2005,C1573,geom_without_data,NA
1999_2005,C1575,geom_without_data,NA
1999_2005,C1577,geom_without_data,NA
1999_2005,C1578,geom_without_data,NA
1999_2005,C158,geom_without_data,NA
1999_2005,C1581,geom_without_data,NA
1999_2005,C1583,geom_without_data,NA
1999_2005,C1584,geom_without_data,NA
1999_2005,C1585,geom_without_data,NA
1999_2005,C1586,geom_without_data,NA
1999_2005,C1587,geom_without_data,NA
1999_2005,C1588,geom_without_data,NA
1999_2005,C1589,geom_without_data,NA
1999_2005,C159,geom_without_data,NA
1999_2005,C1590,geom_without_data,NA
1999_2005,C1592,geom_without_data,NA
1999_2005,C1593,geom_without_data,NA
1999_2005,C1595,geom_without_data,NA
1999_2005,C1596,geom_without_data,NA
1999_2005,C1599,geom_without_data,NA
1999_2005,C16,geom_without_data,NA
1999_2005,C160,geom_without_data,NA
1999_2005,C1601,geom_without_data,NA
1999_2005,C1602,geom_without_data,NA
1999_2005,C1605,geom_without_data,NA
1999_2005,C1606,geom_without_data,NA
1999_2005,C1607,geom_without_data,NA
1999_2005,C1608,geom_without_data,NA
1999_2005,C1609,geom_without_data,NA
1999_2005,C161,geom_without_data,NA
1999_2005,C1610,geom_without_data,NA
1999_2005,C1611,geom_without_data,NA
1999_2005,C1612,geom_without_data,NA
1999_2005,C1614,geom_without_data,NA
1999_2005,C1615,geom_without_data,NA
1999_2005,C1616,geom_without_data,NA
1999_2005,C1618,geom_without_data,NA
1999_2005,C162,geom_without_data,NA
1999_2005,C1620,geom_without_data,NA
1999_2005,C1621,geom_without_data,NA
1999_2005,C1622,geom_without_data,NA
1999_2005,C1625,geom_without_data,NA
1999_2005,C1627,geom_without_data,NA
1999_2005,C1628,geom_without_data,NA
1999_2005,C163,geom_without_data,NA
1999_2005,C1630,geom_without_data,NA
1999_2005,C1631,geom_without_data,NA
1999_2005,C1636,geom_without_data,NA
1999_2005,C1639,geom_without_data,NA
1999_2005,C164,geom_without_data,NA
1999_2005,C1640,geom_without_data,NA
1999_2005,C1641,geom_without_data,NA
1999_2005,C1642,geom_without_data,NA
1999_2005,C1644,geom_without_data,NA
1999_2005,C1646,geom_without_data,NA
1999_2005,C165,geom_without_data,NA
1999_2005,C1650,geom_without_data,NA
1999_2005,C1656,geom_without_data,NA
1999_2005,C1657,geom_without_data,NA
1999_2005,C1658,geom_without_data,NA
1999_2005,C1659,geom_without_data,NA
1999_2005,C166,geom_without_data,NA
1999_2005,C1662,geom_without_data,NA
1999_2005,C1665,geom_without_data,NA
1999_2005,C1668,geom_without_data,NA
1999_2005,C1669,geom_without_data,NA
1999_2005,C167,geom_without_data,NA
1999_2005,C1672,geom_without_data,NA
1999_2005,C1675,geom_without_data,NA
1999_2005,C1677,geom_without_data,NA
1999_2005,C168,geom_without_data,NA
1999_2005,C1680,geom_without_data,NA
1999_2005,C1681,geom_without_data,NA
1999_2005,C1682,geom_without_data,NA
1999_2005,C1684,geom_without_data,NA
1999_2005,C1685,geom_without_data,NA
1999_2005,C1686,geom_without_data,NA
1999_2005,C1687,geom_without_data,NA
1999_2005,C1689,geom_without_data,NA
1999_2005,C169,geom_without_data,NA
1999_2005,C1690,geom_without_data,NA
1999_2005,C1692,geom_without_data,NA
1999_2005,C1695,geom_without_data,NA
1999_2005,C1697,geom_without_data,NA
1999_2005,C1699,geom_without_data,NA
1999_2005,C17,geom_without_data,NA
1999_2005,C170,geom_without_data,NA
1999_2005,C1701,geom_without_data,NA
1999_2005,C1703,geom_without_data,NA
1999_2005,C1707,geom_without_data,NA
1999_2005,C1708,geom_without_data,NA
1999_2005,C1709,geom_without_data,NA
1999_2005,C171,geom_without_data,NA
1999_2005,C1715,geom_without_data,NA
1999_2005,C172,geom_without_data,NA
1999_2005,C1727,geom_without_data,NA
1999_2005,C173,geom_without_data,NA
1999_2005,C1739,geom_without_data,NA
1999_2005,C174,geom_without_data,NA
1999_2005,C1743,geom_without_data,NA
1999_2005,C1745,geom_without_data,NA
1999_2005,C1747,geom_without_data,NA
1999_2005,C1749,geom_without_data,NA
1999_2005,C175,geom_without_data,NA
1999_2005,C1751,geom_without_data,NA
1999_2005,C1752,geom_without_data,NA
1999_2005,C1758,geom_without_data,NA
1999_2005,C176,geom_without_data,NA
1999_2005,C177,geom_without_data,NA
1999_2005,C1772,geom_without_data,NA
1999_2005,C1779,geom_without_data,NA
