period,cluster
1999_2005,C1141
1999_2005,C143
1999_2005,C959
1999_2005,C524
1999_2005,C305
1999_2005,C901
1999_2005,C1343
1999_2005,C1112
1999_2005,C1361
1999_2005,C1480
1999_2005,C1620
1999_2005,C180
1999_2005,C1301
1999_2005,C1321
1999_2005,C1472
1999_2005,C685
1999_2005,C1057
1999_2005,C547
1999_2005,C1284
1999_2005,C151
1999_2005,C1528
1999_2005,C219
1999_2005,C1008
1999_2005,C163
1999_2005,C21
1999_2005,C584
1999_2005,C1162
1999_2005,C914
1999_2005,C1558
1999_2005,C966
1999_2005,C805
1999_2005,C1119
1999_2005,C1609
1999_2005,C1344
1999_2005,C608
1999_2005,C191
1999_2005,C1458
1999_2005,C1474
1999_2005,C1358
1999_2005,C788
1999_2005,C1011
1999_2005,C1053
1999_2005,C1419
1999_2005,C223
1999_2005,C156
1999_2005,C192
1999_2005,C61
1999_2005,C125
1999_2005,C157
1999_2005,C114
1999_2005,C866
1999_2005,C211
1999_2005,C172
1999_2005,C281
1999_2005,C3
1999_2005,C242
1999_2005,C1029
1999_2005,C50
1999_2005,C941
1999_2005,C290
1999_2005,C152
1999_2005,C767
1999_2005,C360
1999_2005,C10
1999_2005,C1236
1999_2005,C368
1999_2005,C623
1999_2005,C22
1999_2005,C267
1999_2005,C734
1999_2005,C779
1999_2005,C578
1999_2005,C582
1999_2005,C1622
1999_2005,C741
1999_2005,C910
1999_2005,C314
1999_2005,C1499
1999_2005,C1496
1999_2005,C943
1999_2005,C1042
1999_2005,C261
1999_2005,C1158
1999_2005,C1240
1999_2005,C333
1999_2005,C238
1999_2005,C858
1999_2005,C78
1999_2005,C658
1999_2005,C596
1999_2005,C1523
1999_2005,C1779
1999_2005,C842
1999_2005,C932
1999_2005,C255
1999_2005,C170
1999_2005,C721
1999_2005,C936
1999_2005,C264
1999_2005,C471
1999_2005,C1668
1999_2005,C1429
1999_2005,C610
1999_2005,C802
1999_2005,C1012
1999_2005,C1515
1999_2005,C1285
1999_2005,C820
1999_2005,C357
1999_2005,C1027
1999_2005,C1386
1999_2005,C445
1999_2005,C412
1999_2005,C1439
1999_2005,C1328
1999_2005,C1079
1999_2005,C1228
1999_2005,C1592
1999_2005,C1146
1999_2005,C1125
1999_2005,C923
1999_2005,C705
1999_2005,C1359
1999_2005,C1090
1999_2005,C988
1999_2005,C430
1999_2005,C256
1999_2005,C1644
1999_2005,C670
1999_2005,C1265
1999_2005,C1282
1999_2005,C1313
1999_2005,C1561
1999_2005,C1639
1999_2005,C1193
1999_2005,C1192
1999_2005,C1312
1999_2005,C1371
1999_2005,C1320
1999_2005,C1520
1999_2005,C318
1999_2005,C134
1999_2005,C603
1999_2005,C347
1999_2005,C674
1999_2005,C350
1999_2005,C1157
1999_2005,C1065
1999_2005,C1739
1999_2005,C1481
1999_2005,C1225
1999_2005,C246
1999_2005,C24
1999_2005,C18
1999_2005,C132
1999_2005,C713
1999_2005,C224
1999_2005,C147
1999_2005,C87
1999_2005,C271
1999_2005,C110
1999_2005,C392
1999_2005,C419
1999_2005,C1058
1999_2005,C576
1999_2005,C116
1999_2005,C840
1999_2005,C385
1999_2005,C1559
1999_2005,C466
1999_2005,C19
1999_2005,C162
1999_2005,C378
1999_2005,C189
1999_2005,C938
1999_2005,C304
1999_2005,C394
1999_2005,C1235
1999_2005,C1015
1999_2005,C1374
1999_2005,C691
1999_2005,C800
1999_2005,C327
1999_2005,C681
1999_2005,C711
1999_2005,C1031
1999_2005,C372
1999_2005,C622
1999_2005,C1263
1999_2005,C1252
1999_2005,C338
1999_2005,C161
1999_2005,C505
1999_2005,C174
1999_2005,C776
1999_2005,C527
1999_2005,C739
1999_2005,C548
1999_2005,C1113
1999_2005,C449
1999_2005,C929
1999_2005,C1441
1999_2005,C319
1999_2005,C1538
1999_2005,C999
1999_2005,C789
1999_2005,C1038
1999_2005,C1126
1999_2005,C1106
1999_2005,C1295
1999_2005,C1169
1999_2005,C952
1999_2005,C1607
1999_2005,C1414
1999_2005,C1059
1999_2005,C1682
1999_2005,C614
