period,cluster,fips,cluster_deaths
1999_2005,40CS027,29057,140
1999_2005,16CS001,30045,14
1999_2005,20CS018,20075,31
1999_2005,08CS001,35028,114
1999_2005,20CS023,20127,87
1999_2005,41CS016,53069,42
1999_2005,19CS017,46049,34
1999_2005,18CS035,18171,91
1999_2005,08CS001,08073,57
1999_2005,08CS001,08017,26
1999_2005,12CS016,13239,32
1999_2005,08CS001,30071,50
1999_2005,27CS010,38049,71
1999_2005,08CS001,31149,17
1999_2005,16CS001,30051,23
1999_2005,08CS001,08111,3
1999_2005,13CS034,13101,18
1999_2005,32CS001,41043,1080
1999_2005,37CS043,37057,1388
1999_2005,12CS005,12085,1638
1999_2005,47CS040,47053,665
1999_2005,48CS029,48231,745
1999_2005,45CS008,45015,972
1999_2005,29CS026,29037,726
1999_2005,08CS001,04021,1599
1999_2005,18CS035,18103,330
1999_2005,42CS024,39031,393
1999_2005,26CS020,26049,3857
1999_2005,28CS003,01065,213
1999_2005,42CS033,42079,4269
1999_2005,45CS008,45033,310
1999_2005,53CS016,53053,5338
1999_2005,42CS006,42011,3533
1999_2005,26CS042,26151,423
1999_2005,13CS041,13045,758
1999_2005,26CS028,26081,4029
1999_2005,22CS008,48203,591
1999_2005,08CS001,49049,1657
1999_2005,45CS029,45083,2537
1999_2005,13CS044,13107,249
1999_2005,36CS004,36109,537
1999_2005,40CS027,29109,371
1999_2005,55CS012,55045,343
1999_2005,37CS008,37021,2218
1999_2005,19CS017,19017,232
1999_2005,18CS045,18141,2336
1999_2005,36CS014,36029,9673
1999_2005,37CS043,37159,1405
1999_2005,48CS085,48281,172
1999_2005,10CS002,10001,1055
1999_2005,55CS012,55059,1224
1999_2005,51CS015,54077,296
1999_2005,48CS011,48479,966
1999_2005,47CS029,47089,425
1999_2005,23CS009,23003,859
1999_2005,13CS041,01005,314
1999_2005,27CS017,55033,262
1999_2005,26CS028,26057,410
1999_2005,28CS003,28053,140
1999_2005,13CS034,13095,822
1999_2005,27CS017,27169,409
1999_2005,12CS032,12087,662
1999_2005,NA,09015,1001
1999_2005,28CS003,05107,334
1999_2005,08CS001,56013,331
1999_2005,28CS003,28041,102
1999_2005,42CS033,42015,666
1999_2005,08CS001,48485,1267
1999_2005,51CS042,51760,2222
1999_2005,29CS038,17169,86
1999_2005,19CS030,29115,171
1999_2005,10CS002,24025,1551
1999_2005,32CS001,32033,94
1999_2005,08CS001,35053,125
1999_2005,48CS029,48251,1079
1999_2005,29CS038,29105,320
1999_2005,39CS015,39033,498
1999_2005,10CS002,24011,316
1999_2005,51CS019,51775,296
1999_2005,47CS040,28003,436
1999_2005,37CS043,37097,1136
1999_2005,29CS038,19057,430
1999_2005,36CS028,36083,1450
1999_2005,28CS003,28151,596
1999_2005,39CS028,21187,110
1999_2005,16CS001,16079,169
1999_2005,51CS015,37041,188
1999_2005,19CS030,19113,1388
1999_2005,42CS011,42009,498
1999_2005,21CS021,47141,594
1999_2005,48CS036,35041,179
1999_2005,32CS001,16083,622
1999_2005,13CS038,13213,267
1999_2005,05CS026,40127,162
1999_2005,42CS024,54087,171
1999_2005,08CS001,20151,126
1999_2005,17CS044,19139,367
1999_2005,36CS028,36003,485
1999_2005,25CS012,50025,374
1999_2005,28CS003,28083,366
1999_2005,06CS027,06033,777
1999_2005,21CS022,21173,193
1999_2005,47CS040,47183,381
1999_2005,47CS024,47041,214
1999_2005,48CS029,48349,458
1999_2005,28CS003,28011,408
1999_2005,12CS016,13099,138
1999_2005,21CS029,21227,750
1999_2005,08CS001,56005,165
1999_2005,01CS023,01049,642
1999_2005,16CS001,53051,124
1999_2005,12CS013,12003,205
1999_2005,32CS001,32023,419
1999_2005,19CS017,19189,125
1999_2005,29CS038,29047,1405
1999_2005,08CS001,38059,222
1999_2005,28CS003,01123,515
1999_2005,37CS008,37087,642
1999_2005,23CS003,33003,434
1999_2005,28CS003,01037,137
1999_2005,21CS021,21133,297
1999_2005,42CS024,54025,464
1999_2005,51CS049,37139,379
1999_2005,36CS028,42083,535
1999_2005,13CS041,13137,313
1999_2005,39CS028,18041,298
1999_2005,17CS040,17145,267
1999_2005,08CS001,40021,410
1999_2005,26CS028,26123,441
1999_2005,28CS003,01085,163
1999_2005,21CS021,21131,129
1999_2005,12CS016,13275,481
