period,cluster,detail_ucod_root3,detail_ucod_gbdl3,detail_mcod
1999_2006,C356,56.06069943601132,52.202223221422514,61.31351182363481
1999_2006,C357,55.22584480501093,55.34922580528918,60.604130500408004
1999_2006,C359,56.706428305646526,59.630717811981064,61.055637432626426
1999_2006,C36,55.322439611237904,56.606623794231815,62.28807898350819
1999_2006,C360,56.45846394822226,37.38745256372595,60.139614455283805
1999_2006,C361,55.59522885199784,59.828790982108906,61.539312250228384
1999_2006,C362,55.57665460456783,63.51536949678306,60.82375097668564
1999_2006,C363,54.72441386046391,34.95900245661097,61.273743493121906
1999_2006,C364,55.852945164634946,51.988591097228415,61.94797807309213
1999_2006,C365,56.01068844306059,61.64937700238242,61.616713235812206
1999_2006,C368,55.446356795421536,68.58738978433918,60.96261022500627
1999_2006,C369,56.36797198090885,44.89453435644265,61.7749417476113
1999_2006,C37,56.39680661390328,53.85818165719192,62.047258453872004
1999_2006,C370,55.391565377874194,57.49346374624273,62.33666061239187
1999_2006,C371,55.34800582722528,62.51498725623735,60.92407010220511
1999_2006,C372,55.405103909628515,44.80616934503171,60.92360846529349
1999_2006,C373,54.72840445316181,55.32046662460696,61.37128541526775
1999_2006,C374,56.70329204140584,67.82802654868205,62.49787791310999
1999_2006,C375,54.3645409872962,65.95552486417218,61.29681141901256
1999_2006,C376,55.8383347906763,39.60984242656742,61.74859917338882
1999_2006,C377,56.75826263323797,66.07827630092423,61.24675205543179
1999_2006,C378,56.00042145605836,51.64901484928742,60.84074402210882
1999_2006,C379,55.05075317621825,57.659195068284944,60.81376314734051
1999_2006,C38,55.012977624058976,47.64822033003895,61.913120007137195
1999_2006,C380,56.0825100623587,50.80473333642398,61.964693975575464
1999_2006,C381,55.53965768241955,64.48684705510681,61.23514970648566
1999_2006,C382,56.4089330207065,65.09974058515145,61.646217960509695
1999_2006,C383,55.21888490771064,62.087384025701894,60.63252561479528
1999_2006,C384,55.04137482737512,66.44915332071798,61.010102763003
1999_2006,C385,55.82145982520227,43.50294297863721,61.427051617534666
1999_2006,C386,55.99089005364149,52.64432627002423,61.77190204650732
1999_2006,C387,55.18742989192897,55.1127745604428,61.96891448829308
1999_2006,C388,54.786624614276306,58.062075734092915,60.62274223533925
1999_2006,C389,54.999577380445565,60.20491610065335,61.49660019263943
1999_2006,C39,55.43271691020618,52.99384277813139,61.644913873264855
1999_2006,C390,55.30509940891212,65.48116221266619,61.12407929361836
1999_2006,C391,55.007411057885896,63.509683679022174,61.296130369755474
1999_2006,C392,55.79538876133833,55.881859401681446,61.82280187076374
1999_2006,C393,54.67014351953532,47.55210919743475,60.90064109782296
1999_2006,C394,55.919669837255924,63.35228413477286,61.785826651488826
1999_2006,C395,55.23958650699997,50.97436838627326,60.77744629123813
1999_2006,C396,54.80967299148068,43.544662868602146,59.95855850985478
1999_2006,C397,55.76129227340068,40.13215873548726,62.043928439753984
1999_2006,C398,54.721405540546954,45.76414780214062,61.36599215606802
1999_2006,C399,55.57065348055211,65.65237445034388,61.5220890139006
1999_2006,C4,55.517929406088705,55.474643075984595,62.21697143102012
1999_2006,C40,55.489544954325105,61.207816340098915,62.49498079672059
1999_2006,C400,55.56859345948172,50.24966768251665,61.103903054205915
1999_2006,C401,54.96254567968001,49.85682938983563,60.756001814046186
1999_2006,C402,56.04737828645274,59.63320463229933,60.90392542268672
1999_2006,C403,55.935599338649226,62.04836210566195,61.098241171410415
1999_2006,C404,55.76234711563285,62.85268321967178,60.26463399767244
1999_2006,C406,55.63205203974676,61.701349863645056,61.48681490222387
1999_2006,C407,55.60627770995768,61.64938763039461,61.58426989439246
1999_2006,C408,55.6949597206557,54.972925212987775,61.276345191912256
1999_2006,C41,55.607571394111154,62.89715116304176,62.52083121919152
1999_2006,C410,55.697613879140206,52.20577739415409,61.04398876540781
1999_2006,C412,54.835223395558515,55.819058579476994,61.2910326625759
1999_2006,C413,55.82529525957622,49.24673586097877,61.20577581408455
1999_2006,C414,56.06553893641906,56.20559541918199,61.47286987643294
1999_2006,C415,56.168240447253474,52.356817903012825,60.71388462562166
1999_2006,C416,55.905795129437884,52.65102571842685,62.2407302873976
1999_2006,C417,56.65205514023901,65.26695550297023,60.91074695088813
1999_2006,C418,54.9024202021948,54.85376958268603,60.65291220036353
1999_2006,C419,56.41846922637066,55.75142879160726,59.694721720631435
1999_2006,C42,55.76598599206138,62.518012775805516,62.07830799327832
1999_2006,C420,56.13284091084345,54.867172489303485,60.48073060267035
1999_2006,C421,54.87491879059154,66.35535422453542,61.26182703787487
1999_2006,C422,55.239571900218714,41.114529942493334,61.693792722082385
1999_2006,C423,55.95046143780337,56.42807060069574,61.28655847974737
1999_2006,C424,55.26409051582208,48.47194397523024,61.561585839044135
1999_2006,C425,55.288270790617794,61.209417633790615,60.7323847743883
1999_2006,C426,55.61069706112377,47.70889477884063,60.50414242522145
1999_2006,C427,55.436286674160506,60.84981100006575,61.83270040246848
1999_2006,C428,56.0854080642575,65.9820345645033,61.004781549932886
1999_2006,C429,55.33497664161076,52.62381861719772,60.87641018610801
1999_2006,C43,55.21174511263345,50.339063008180595,62.00784293135597
1999_2006,C430,55.86123134705525,58.45206660135795,62.15536717440209
1999_2006,C431,55.424897337712686,46.866359758193994,61.60602340391343
1999_2006,C432,54.73057017279004,59.19391302499833,60.23378009746431
1999_2006,C433,56.3964552577687,43.71964075319005,61.62984654812958
1999_2006,C434,56.433987053083406,59.6303683404919,61.251115274022126
1999_2006,C435,56.636344424159326,58.07974939619417,61.446500918651964
