cluster,deaths,S_raw,I_raw,S_rare,I_rare,S_resid,I_resid,period
C1796,571,0.9067816624289583,0.6597275215449222,NA,NA,0.010476074667968118,0.017716314233782584,2018_2022
C1797,602,0.8984172360128476,0.6459070018183009,NA,NA,0.0020894332038309247,0.003832113439468834,2018_2022
C1798,571,0.90478191393107,0.661136162176728,NA,NA,0.008476326170079809,0.019124954865588375,2018_2022
C1799,507,0.9106123735163334,0.677424152290302,NA,NA,0.014356730292428243,0.035556114665006903,2018_2022
C18,34867,0.8973646048889965,0.6457197970268268,0.9026323135616877,0.6389380960469797,-6.710146936222841e-4,-0.001250673636418277,2018_2022
C180,7772,0.9002370439671661,0.6529142574610834,0.9072797014092079,0.6465289256198324,0.0028331787443302177,0.007754757096092719,2018_2022
C1800,534,0.8922133849542004,0.6296421489093215,NA,NA,-0.004064055390388033,-0.012288371764224369,2018_2022
C1801,514,0.894525276688519,0.6385637396966406,NA,NA,-0.0017361269244625228,-0.00332081050725744,2018_2022
C1802,591,0.905918157586585,0.6610526315789489,NA,NA,0.009598104027715208,0.018999956995134605,2018_2022
C1803,514,0.8917697467032051,0.6206375173507802,NA,NA,-0.004491656909776443,-0.02124703285311783,2018_2022
C1804,493,0.9024846841583384,0.6550232334561688,NA,NA,0.006240803747921967,0.013188914800156847,2018_2022
C1805,546,0.9070764400434731,0.6693971022151675,NA,NA,0.010789662976925386,0.02743981714199476,2018_2022
C1806,592,0.8885877008765521,0.618307426597587,NA,NA,-0.007733063084662652,-0.023747284406754825,2018_2022
C1807,531,0.8942797053493214,0.63588270016817106,NA,NA,-0.001995368091432137,-0.006041035601594627,2018_2022
C1808,521,0.8825785345618384,0.6140617430748124,NA,NA,-0.013688551669810863,-0.027839096773097226,2018_2022
C1809,560,0.8985522959183675,0.654336573664951,NA,NA,0.002254881487771155,0.012348795806021525,2018_2022
C181,7715,0.8942593167395329,0.6358159915904212,0.8843684411865055,0.6403576501091386,-0.0031414505214194376,-0.009334628239169288,2018_2022
C1810,574,0.8995070961162573,0.6479341475310386,NA,NA,0.003199306537049296,0.0059166285461717694,2018_2022
C1811,559,0.8906397508968545,0.6244581913058201,NA,NA,-0.00565691257316883,-0.017527433869440858,2018_2022
C1812,523,0.8889587575723232,0.6168318102774174,NA,NA,-0.007309938272337308,-0.025073643644475122,2018_2022
C1813,575,0.8944514177693761,0.6344664123019923,NA,NA,-0.0018571031971393482,-0.007553203258338879,2018_2022
C1814,517,0.894118351297659,0.6322130394857679,NA,NA,-0.002145497123490068,-0.009678518940404932,2018_2022
C1815,533,0.8929736807831349,0.6307918367346845,NA,NA,-0.0033029720714399823,-0.011136426540866762,2018_2022
C1816,526,0.8923723055125852,0.6210317460317449,NA,NA,-0.0038987932688936337,-0.020880596085122546,2018_2022
C1817,510,0.9009765474817377,0.638215512653025,NA,NA,0.004718425860351159,-0.0036596294807813,2018_2022
C1818,487,0.8992574914934077,0.6518181941119916,NA,NA,0.0030187546902512496,0.009998619984180236,2018_2022
C1819,542,0.9008047276044716,0.6301038062283743,NA,NA,0.004521039823641147,-0.011844623180266616,2018_2022
C182,7752,0.8948775561498293,0.6342438154636583,0.896289327033426,0.6480531915845679,-0.0025252246635712296,-0.010912576361995819,2018_2022
C1820,523,0.8968262962976503,0.6478051198846243,NA,NA,5.576004529897752e-4,0.005899665962731775,2018_2022
C1821,570,0.8975931055709448,0.6509808455697966,NA,NA,0.0012882543163359255,0.008971749508322777,2018_2022
C1822,485,0.9032798384525454,0.6627540756156833,NA,NA,0.007042830248489912,0.020939456644224932,2018_2022
C1823,514,0.8944192947660069,0.6420304232804211,NA,NA,-0.0018421088469746222,1.458730765231098e-4,2018_2022
C1824,571,0.8992488674737226,0.6406804839087094,NA,NA,0.002943279712732384,-0.001330723402430265,2018_2022
C1825,558,0.9001682917742577,0.6567626894707677,NA,NA,0.0038723806070074447,0.01477922082669045,2018_2022
C1826,600,0.8947722222222221,0.6335777801395843,NA,NA,-0.0015541822024868182,-0.008493099667865878,2018_2022
C1827,491,0.8873200293677229,0.6186197916666641,NA,NA,-0.00892214348136787,-0.023209632139323748,2018_2022
C1828,519,0.8940269749518304,0.6303082457838814,NA,NA,-0.002238495487855841,-0.011587962277625777,2018_2022
C1829,522,0.8976453663334361,0.6418550465992425,NA,NA,0.0013774745258671823,-4.81024912402028e-5,2018_2022
C183,7584,0.8963114871526108,0.6428344061366189,0.8846372556115011,0.63229260893799,-0.0010820726071029756,-0.00229555286101138,2018_2022
C1830,505,0.8992608567787471,0.6566268748086924,NA,NA,0.003006873964448774,0.014763596869554335,2018_2022
C1831,542,0.8942824852602769,0.6375755955761931,NA,NA,-0.0020012025205535934,-0.004372833832447725,2018_2022
C1832,532,0.904092939114704,0.6563028838859479,NA,NA,0.007817075226226116,0.014376882239692614,2018_2022
C1833,517,0.8794076823213826,0.5999737052840378,NA,NA,-0.016856166099766555,-0.04191785314213502,2018_2022
C1834,535,0.8923050048039128,0.6352758247701473,NA,NA,-0.003973221560118801,-0.006656949085894811,2018_2022
C1835,539,0.8937322947394508,0.6279971155579593,NA,NA,-0.0025490611058333426,-0.013944629186070341,2018_2022
C1836,521,0.8925401836863258,0.6406348284705239,NA,NA,-0.003726902545323483,-0.0012660113773857657,2018_2022
C1837,507,0.8931526673902641,0.6417063255998404,NA,NA,-0.0031029758336410434,-1.6171202545463086e-4,2018_2022
