stable_fips,DQ_prop_garbage,prop_light,pct_overd_miss,prop_all_comp,n_cert,iso_score,lof_score,km_cluster,iso_rank,lof_rank,anomaly_flag
19193,0.2150763916444504,0.305977227014191,0.20624999999999996,0.7857315245301676,194.35,0.5821667372620394,1.046306991223074,2,4019,3312,FALSE
19195,0.2065858838505033,0.30662831051898215,0.33333333333333337,0.7832219210465778,17.3,0.5904973857982421,1.1947718715429956,2,1072,1529,FALSE
19197,0.24075865384504372,0.2977363311623941,0.2,0.78581374246756,32.85,0.5831917422098332,1.2631728657512864,2,2738,1036,FALSE
20001,0.22620901696661674,0.29529036460694813,0.06944444444444445,0.7891794963369307,56.791666666666664,0.583586455249517,1.0588083842324283,2,2505,3129,FALSE
20003,0.2517311440526751,0.31490519193070604,0.10000000000000002,0.7891610486133989,23.375,0.5831128316437283,1.1544617576011031,2,2812,1944,FALSE
20005,0.22123099609759986,0.29925333134148874,0.13333333333333336,0.7936062329082714,36.208333333333336,0.582403116851201,1.1365033361482937,2,3522,2132,FALSE
20007,0.1852665571929175,0.30957955132476883,0,0.7985632013671675,24.541666666666668,0.5893797819623605,1.4921645646276958,2,1166,370,FALSE
20009,0.2369535166041961,0.3125280499987409,0.0611111111111111,0.7951990439289317,50.91666666666667,0.5832706634546216,1.122174723742064,2,2687,2290,FALSE
20011,0.22476019043782997,0.3104855764838982,0,0.7909055521712595,46.29166666666667,0.5830339317548621,1.0274467290620934,2,2873,3597,FALSE
20013,0.22585801473857758,0.3261480044486974,0.2727272727272727,0.7995636276170894,24.958333333333332,0.5853263687752532,1.5456395337146516,2,1842,304,FALSE
20015,0.2248879503422251,0.321511538633534,0.2779411764705883,0.7910872974652784,109.125,0.5838234112926963,1.1454729519330662,2,2387,2047,FALSE
20017,0.3009442169361759,0.328317745319147,0.25,0.7970773778313461,9.583333333333332,0.5994337285026438,1.377062326735605,2,676,608,FALSE
20019,0.2756385286799154,0.2972159506079282,0.1111111111111111,0.7987308334370967,48.29166666666667,0.5871509159799966,1.3111199957510937,2,1463,820,FALSE
20021,0.20652688318675275,0.31432014452822715,0.1568627450980392,0.7932731047761652,62.95833333333333,0.5820879653874056,1.067589639465755,2,4192,2999,FALSE
20023,0.3320271222277975,0.33019846805156017,0,0.7933939348906455,13.958333333333336,0.6066964959615666,1.386052976763086,2,518,588,FALSE
20025,0.1934001845975603,0.33608726687459034,0,0.7942812868949233,12.25,0.5898584957933101,1.6740708569571108,2,1116,200,TRUE
20027,0.20746095577672868,0.2943642725854514,0.3,0.7933614312868258,27.375,0.5862775979567023,1.2115275241625656,2,1607,1381,FALSE
20029,0.20483669962949472,0.30175964290994844,0.06944444444444445,0.7924776595759447,42.125,0.5838234112926963,1.1468862751633164,2,2388,2025,FALSE
20031,0.2410348573777521,0.3176009943629068,0.17439811429880941,0.7947129162669408,1536.625,0.5820092041712446,1.2500327061034013,2,4346,1124,FALSE
20033,0.28654929372311444,0.2644021458544483,0.2,0.811835260891325,12.666666666666666,0.6145460090304941,1.6430427587579828,2,408,224,FALSE
20035,0.21456818843760378,0.3063256409157586,0.20833333333333331,0.7930523531885142,78.58333333333334,0.582403116851201,1.0138824447211252,2,3523,3784,FALSE
20037,0.21026665391054505,0.31280388399519704,0.17424242424242423,0.7954251431690017,98.5,0.582718438942893,1.1300600620740888,2,3132,2207,FALSE
20039,0.23246867620222952,0.2964072719193523,0.1,0.7928660833991716,14.291666666666668,0.5826395924185535,1.1427016179309741,2,3212,2072,FALSE
20041,0.203471345655491,0.3197191578136458,0.2878787878787879,0.7893898474934103,46.291666666666664,0.5855640312827803,1.2227345389846997,2,1776,1298,FALSE
20043,0.231035025032001,0.31413481234878826,0.11948369091226234,0.7903424881173154,204.875,0.582403116851201,1.0157396711158069,2,3524,3759,FALSE
20045,0.2123249417853857,0.31472137011729645,0.14901960784313725,0.7906309485666307,118.75,0.5823243129924944,1.0240167143847019,2,3663,3656,FALSE
20047,0.22821341624712346,0.31469320292413516,0,0.8021447744597888,12.291666666666668,0.585009635473902,1.2897661771360267,2,1947,901,FALSE
20049,0.2521254304605087,0.3331716604079285,0,0.8016662055627626,18.75,0.5869920341809567,1.3264568552914564,2,1485,767,FALSE
20051,0.21847048689289114,0.3134025231658567,0.08333333333333334,0.790545463914008,47.5,0.5826395924185535,1.0226981940809068,2,3213,3668,FALSE
20053,0.2319025899890078,0.32741543600170914,0.2,0.7921232534570312,22.666666666666664,0.5843766829530572,1.2729354102810302,2,2158,986,FALSE
20055,0.20520641297249476,0.31340484744069075,0.2,0.7901905601160892,56.70833333333333,0.5824819313741509,1.201921360266108,2,3400,1463,FALSE
20057,0.22937546563343825,0.31336465947193953,0.2333333333333333,0.7906911487256686,58.16666666666667,0.5827972961372495,1.040925856826876,2,3056,3394,FALSE
20059,0.2275757141045162,0.2896559893707086,0.1818181818181818,0.7905533797921422,46.54166666666667,0.5836654299094041,1.2977641416352108,2,2459,870,FALSE
20061,0.2314425476296587,0.31917054824754476,0.05555555555555555,0.796754088332204,41.125,0.5850888027276595,1.2300216229112018,2,1920,1245,FALSE
20063,0.2989931589576489,0.3104915604762826,0.5,0.7895377813266948,16.416666666666668,0.6272321353205547,1.653251241081133,2,275,215,TRUE
20065,0.2818289432451442,0.33339254284263953,0.25,0.7980649401103946,10.125,0.593702230783741,1.3256479764615035,2,888,771,FALSE
20067,0.19673447780790873,0.307493677029043,0.25,0.7954712844024675,16.125,0.5843766829530572,1.353966464772335,2,2159,682,FALSE
