cluster,domain_code,incidence,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C98,T14,79,0.014157706093189963,0.06027637993364847,0.013969426039115457,4.314878776326959,10,NA,1999_2006,mcod_root3
C99,I25,607,0.12523210233133897,0.26018051825562777,0.05965459573065618,4.361449693337246,1,NA,1999_2006,mcod_root3
C99,J44,335,0.06911491644316071,0.18467399955576722,0.04234234315206795,4.361449693337246,2,NA,1999_2006,mcod_root3
C99,F03,274,0.056529812255003094,0.16240942303926179,0.03723748626227789,4.361449693337246,3,NA,1999_2006,mcod_root3
C99,I48,201,0.04146894986589643,0.13198780191562745,0.030262369440431282,4.361449693337246,4,NA,1999_2006,mcod_root3
C99,N18,168,0.03466061481328657,0.1165342296435477,0.026719150245289047,4.361449693337246,5,NA,1999_2006,mcod_root3
C99,I21,121,0.024963895192902825,0.09212487879514851,0.021122536145695495,4.361449693337246,6,NA,1999_2006,mcod_root3
C99,G30,120,0.024757582009490405,0.09156897445174327,0.02099507752929681,4.361449693337246,7,NA,1999_2006,mcod_root3
C99,E11,106,0.021869197441716524,0.08359885929930487,0.019167677074669553,4.361449693337246,8,NA,1999_2006,mcod_root3
C99,T14,74,0.015267175572519083,0.06384809378078178,0.014639190698065166,4.361449693337246,9,NA,1999_2006,mcod_root3
C99,S09,74,0.015267175572519083,0.06384809378078178,0.014639190698065166,4.361449693337246,10,NA,1999_2006,mcod_root3
C1,I25,7330,0.1106866194524561,0.24362704039799685,0.055608881706388016,4.381081455374968,1,NA,2007_2014,mcod_root3
C1,J44,4890,0.07384141461425789,0.19241858187146044,0.04392033880935722,4.381081455374968,2,NA,2007_2014,mcod_root3
C1,I48,3771,0.05694396206755961,0.16318360692293146,0.03724733461020868,4.381081455374968,3,NA,2007_2014,mcod_root3
C1,F03,3540,0.0534557480029597,0.15656659952708957,0.03573697524728842,4.381081455374968,4,NA,2007_2014,mcod_root3
C1,N18,2665,0.04024281594008124,0.12929307590608152,0.029511680443068955,4.381081455374968,5,NA,2007_2014,mcod_root3
C1,E11,1897,0.028645636712320493,0.1017709045278688,0.023229630757723135,4.381081455374968,6,NA,2007_2014,mcod_root3
C1,E78,1800,0.027180888815064252,0.09799365938577335,0.02236745889888648,4.381081455374968,7,NA,2007_2014,mcod_root3
C1,T14,1590,0.024009785119973422,0.0895395432288962,0.020437771847187147,4.381081455374968,8,NA,2007_2014,mcod_root3
C1,I21,1433,0.021639007595548373,0.08294789217829987,0.01893320017516098,4.381081455374968,9,NA,2007_2014,mcod_root3
C1,I11,1175,0.017743080198722498,0.07153583546895811,0.016328350932894378,4.381081455374968,10,NA,2007_2014,mcod_root3
C10,I25,1886,0.10996443356072533,0.24275729623049075,0.05529469573819417,4.390245628258498,1,NA,2007_2014,mcod_root3
C10,J44,1143,0.06664334441140458,0.1804968404107574,0.041113153042955375,4.390245628258498,2,NA,2007_2014,mcod_root3
C10,I48,974,0.056789691563174156,0.16289557719235134,0.03710397799700515,4.390245628258498,3,NA,2007_2014,mcod_root3
C10,F03,931,0.05428254912250015,0.15815505576070304,0.036024192984263445,4.390245628258498,4,NA,2007_2014,mcod_root3
C10,N18,679,0.03958952830738732,0.1278421339502961,0.029119585730561483,4.390245628258498,5,NA,2007_2014,mcod_root3
C10,E11,487,0.028394845781587078,0.1011295958921172,0.023035065564710286,4.390245628258498,6,NA,2007_2014,mcod_root3
C10,T14,464,0.027053816104017258,0.09766230682616192,0.022245294476815447,4.390245628258498,7,NA,2007_2014,mcod_root3
C10,E78,424,0.024721590577808875,0.0914718209546296,0.020835239915930222,4.390245628258498,8,NA,2007_2014,mcod_root3
C10,I21,369,0.021514780479272345,0.08259556747501506,0.018813427418132567,4.390245628258498,9,NA,2007_2014,mcod_root3
C10,I11,324,0.01889102676228791,0.07497977442139114,0.017078719682282053,4.390245628258498,10,NA,2007_2014,mcod_root3
C100,I25,885,0.11978884677855983,0.2541948912067424,0.058259840867391624,4.363123678715998,1,NA,2007_2014,mcod_root3
C100,J44,529,0.07160259880887926,0.1887891239990227,0.04326925796762665,4.363123678715998,2,NA,2007_2014,mcod_root3
C100,I48,427,0.05779642663779101,0.16476769032141936,0.03776369923346019,4.363123678715998,3,NA,2007_2014,mcod_root3
C100,F03,369,0.049945858148348676,0.14967853171302176,0.034305360731160826,4.363123678715998,4,NA,2007_2014,mcod_root3
C100,N18,289,0.03911748781808338,0.12678704030545965,0.029058777527656787,4.363123678715998,5,NA,2007_2014,mcod_root3
C100,E78,205,0.02774769897130482,0.09946446727761886,0.022796618799238295,4.363123678715998,6,NA,2007_2014,mcod_root3
C100,E11,187,0.02531131564699513,0.09305714624727528,0.021328101859963915,4.363123678715998,7,NA,2007_2014,mcod_root3
C100,I21,172,0.023280996210070383,0.08753928975297462,0.020063444495054084,4.363123678715998,8,NA,2007_2014,mcod_root3
C100,T14,166,0.022468868435300486,0.0852833887103126,0.01954640642582248,4.363123678715998,9,NA,2007_2014,mcod_root3
C100,I11,139,0.01881429344883595,0.07475179192449824,0.01713263190066081,4.363123678715998,10,NA,2007_2014,mcod_root3
C101,I25,549,0.1120865659452838,0.24529963332082844,0.05642248266891564,4.34755121925837,1,NA,2007_2014,mcod_root3
C101,J44,351,0.07166190281747652,0.18888615780527415,0.043446562968266864,4.34755121925837,2,NA,2007_2014,mcod_root3
C101,I48,277,0.05655369538587179,0.16245415079153994,0.037366816996178435,4.34755121925837,3,NA,2007_2014,mcod_root3
C101,F03,260,0.053082890975908535,0.15584609181076198,0.03584686734003495,4.34755121925837,4,NA,2007_2014,mcod_root3
C101,N18,188,0.038383013474887706,0.12513400809314962,0.028782641487659275,4.34755121925837,5,NA,2007_2014,mcod_root3
C101,E11,145,0.029603919967333605,0.10420131314582953,0.023967817258655502,4.34755121925837,6,NA,2007_2014,mcod_root3
C101,E78,140,0.028583095140873826,0.10161118294944738,0.023372049649315184,4.34755121925837,7,NA,2007_2014,mcod_root3
C101,T14,123,0.025112290730910574,0.09252367078464323,0.021281789706074226,4.34755121925837,8,NA,2007_2014,mcod_root3
C101,I21,107,0.021845651286239283,0.0835323834476056,0.019213662872465256,4.34755121925837,9,NA,2007_2014,mcod_root3
C101,I11,87,0.017762351980400163,0.07159425241743672,0.016467719138142708,4.34755121925837,10,NA,2007_2014,mcod_root3
C102,I25,568,0.11587107303141575,0.24973427551375008,0.05775755021270166,4.323837742322218,1,NA,2007_2014,mcod_root3
C102,J44,361,0.07364341085271318,0.19210035468739678,0.04442820617598495,4.323837742322218,2,NA,2007_2014,mcod_root3
C102,F03,272,0.0554875560995512,0.16044762288850276,0.037107688227526,4.323837742322218,3,NA,2007_2014,mcod_root3
C102,I48,260,0.053039575683394534,0.15576222003240672,0.03602406688571782,4.323837742322218,4,NA,2007_2014,mcod_root3
C102,N18,210,0.042839657282741736,0.13495738821049036,0.031212408109007425,4.323837742322218,5,NA,2007_2014,mcod_root3
C102,E11,146,0.029783761729906162,0.10465394198030178,0.024203947561661956,4.323837742322218,6,NA,2007_2014,mcod_root3
C102,E78,124,0.02529579763361893,0.09301560746876675,0.021512279833796572,4.323837742322218,7,NA,2007_2014,mcod_root3
C102,I21,119,0.02427580579355365,0.09026412351003812,0.020875927564654558,4.323837742322218,8,NA,2007_2014,mcod_root3
C102,T14,101,0.020603835169318647,0.0799898169669373,0.018499726801491145,4.323837742322218,9,NA,2007_2014,mcod_root3
C102,I11,86,0.017543859649122806,0.07093072399709736,0.016404575801450487,4.323837742322218,10,NA,2007_2014,mcod_root3
