cluster,deaths_no_garbage,S,f1,f2,H_raw,detail_phillips_raw,detail_phillips_refsize,D1_mref,D1_eff_used,m_ref,m_max,eff_m_used,used_extrapolation,fallback_reason,period,unit,unit_id
C498,3830,272,99,41,4.091229100100479,60.242905087918395,59.63784234202942,NA,57.40537551562994,2000,7660,2000,FALSE,ok,2015_2022,cluster,C498
C499,3895,276,106,39,4.10246332877439,60.408327887565996,59.784545924421295,NA,57.98016180612396,2000,7790,2000,FALSE,ok,2015_2022,cluster,C499
C5,26027,487,117,66,4.119615140794339,60.66088646063106,59.285936678604735,NA,56.04972572433948,2000,52054,2000,FALSE,ok,2015_2022,cluster,C5
C50,8944,357,111,49,4.074237039385748,59.99269883550868,58.92541711191276,NA,54.69408530670349,2000,17888,2000,FALSE,ok,2015_2022,cluster,C50
C500,2514,241,103,36,4.050578127422388,59.6443239210222,59.38797884969735,NA,56.43949423977557,2000,5028,2000,FALSE,ok,2015_2022,cluster,C500
C501,2950,246,95,43,4.098125084179921,60.34444770609527,59.95168569649319,NA,58.642034181118156,2000,5900,2000,FALSE,ok,2015_2022,cluster,C501
C502,2888,241,92,37,4.064691402181822,59.85214036224555,59.48535638194121,NA,56.813972477040124,2000,5776,2000,FALSE,ok,2015_2022,cluster,C502
C503,2953,235,87,36,4.100060190332398,60.372941934461956,60.00034991020225,NA,58.83616052573556,2000,5906,2000,FALSE,ok,2015_2022,cluster,C503
C504,2901,233,79,36,4.058927238598973,59.7672636782133,59.41405519681067,NA,56.53953163228887,2000,5802,2000,FALSE,ok,2015_2022,cluster,C504
C505,2247,216,86,34,4.021408043956915,59.21479760347278,59.090259154198534,NA,55.30981405107206,2000,4494,2000,FALSE,ok,2015_2022,cluster,C505
C506,2790,236,94,31,4.039736855106477,59.48468736115718,59.15012918999397,NA,55.53515639577986,2000,5580,2000,FALSE,ok,2015_2022,cluster,C506
C508,3151,260,96,46,4.050783994973804,59.64735529840468,59.18289917575354,NA,55.658886532260205,2000,6302,2000,FALSE,ok,2015_2022,cluster,C508
C51,8938,363,114,53,4.082354828775249,60.112232404455824,59.02841547786834,NA,55.07800323085381,2000,17876,2000,FALSE,ok,2015_2022,cluster,C51
C510,2944,253,111,37,4.0384554164800015,59.46581831626579,59.05674513323626,NA,55.18407143470549,2000,5888,2000,FALSE,ok,2015_2022,cluster,C510
C511,6111,312,93,55,4.084382261742019,60.14208613515652,59.25933824948988,NA,55.94857122929981,2000,12222,2000,FALSE,ok,2015_2022,cluster,C511
C512,2608,230,93,34,4.057836709853572,59.751205760629745,59.478415306444944,NA,56.78719760141543,2000,5216,2000,FALSE,ok,2015_2022,cluster,C512
C513,2460,236,100,31,4.053600429363105,59.688826989539486,59.459061260056906,NA,56.712606893999244,2000,4920,2000,FALSE,ok,2015_2022,cluster,C513
C514,2858,240,91,39,4.062234792301074,59.815967048001106,59.45885634682413,NA,56.7118176805328,2000,5716,2000,FALSE,ok,2015_2022,cluster,C514
