cluster,domain_code,n,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C51,J44,593,0.07393093130532352,0.19256227671673543,0.04855482848616278,3.965872864150104,3,NA,2007_2014,ucod_root3
C51,I21,565,0.0704400947512779,0.1868770536559747,0.04712129209820822,3.965872864150104,4,NA,2007_2014,ucod_root3
C51,F03,456,0.05685076673731455,0.1630096572453257,0.04110309705559839,3.965872864150104,5,NA,2007_2014,ucod_root3
C51,G30,396,0.049370402692931054,0.14852612534154444,0.03745105565137019,3.965872864150104,6,NA,2007_2014,ucod_root3
C51,C25,181,0.022565764867223538,0.08555406612246588,0.021572569029088207,3.965872864150104,7,NA,2007_2014,ucod_root3
C51,C18,179,0.02231641939907742,0.08485668009215613,0.021396722234650133,3.965872864150104,8,NA,2007_2014,ucod_root3
C51,C50,172,0.021443710260566014,0.08239368053649135,0.02077567369375279,3.965872864150104,9,NA,2007_2014,ucod_root3
C51,I11,164,0.02044632838798155,0.07953523505560492,0.020054912948564606,3.965872864150104,10,NA,2007_2014,ucod_root3
C510,I25,376,0.13060090309135117,0.2658523929682452,0.06692269751183345,3.972529543078213,1,NA,2007_2014,ucod_root3
C510,C34,258,0.08961444946161862,0.21617144358046683,0.05441657292571348,3.972529543078213,2,NA,2007_2014,ucod_root3
C510,J44,215,0.07467870788468219,0.1937584079312853,0.04877456689249611,3.972529543078213,3,NA,2007_2014,ucod_root3
C510,I21,208,0.07224730809308788,0.18984137682162502,0.04778853744521727,3.972529543078213,4,NA,2007_2014,ucod_root3
C510,F03,152,0.05279610976033345,0.15529013581257964,0.03909099583240588,3.972529543078213,5,NA,2007_2014,ucod_root3
C510,G30,142,0.0493226814866273,0.14843025880081626,0.037364167387865764,3.972529543078213,6,NA,2007_2014,ucod_root3
C510,C18,78,0.027092740534907955,0.09776386876900367,0.024609979034479104,3.972529543078213,7,NA,2007_2014,ucod_root3
C510,C25,71,0.02466134074331365,0.09130906820546408,0.022985119988487485,3.972529543078213,8,NA,2007_2014,ucod_root3
C510,C50,69,0.02396665508857242,0.08942178993922516,0.022510037740319604,3.972529543078213,9,NA,2007_2014,ucod_root3
C510,I11,48,0.01667245571378951,0.06825698833824442,0.01718224813637353,3.972529543078213,10,NA,2007_2014,ucod_root3
C511,I25,447,0.1506572295247725,0.2851561737370179,0.07299719129389418,3.906399255677522,1,NA,2007_2014,ucod_root3
C511,C34,267,0.08998988877654196,0.21670086815799894,0.05547330264387288,3.906399255677522,2,NA,2007_2014,ucod_root3
C511,I21,203,0.06841927873272666,0.18350739136284258,0.046976097257886464,3.906399255677522,3,NA,2007_2014,ucod_root3
C511,J44,199,0.0670711156049882,0.18122627479531497,0.046392153728762486,3.906399255677522,4,NA,2007_2014,ucod_root3
C511,F03,174,0.05864509605662285,0.16633223116524268,0.042579424241773814,3.906399255677522,5,NA,2007_2014,ucod_root3
C511,G30,139,0.04684866868891136,0.1433959364729552,0.03670795714609687,3.906399255677522,6,NA,2007_2014,ucod_root3
C511,C25,72,0.024266936299292215,0.09024001216440283,0.023100560454297876,3.906399255677522,7,NA,2007_2014,ucod_root3
C511,I11,65,0.021907650825749917,0.0837073669618089,0.021428267179845847,3.906399255677522,8,NA,2007_2014,ucod_root3
C511,C50,65,0.021907650825749917,0.0837073669618089,0.021428267179845847,3.906399255677522,9,NA,2007_2014,ucod_root3
C511,C18,63,0.021233569261880688,0.08179535871778065,0.020938811771198267,3.906399255677522,10,NA,2007_2014,ucod_root3
C513,I25,436,0.15244755244755245,0.28674388530163664,0.07311941555437883,3.9215833869512475,1,NA,2007_2014,ucod_root3
C513,C34,230,0.08041958041958042,0.20269735902967193,0.05168763201724361,3.9215833869512475,2,NA,2007_2014,ucod_root3
C513,J44,207,0.07237762237762238,0.19005336674249843,0.04846342611886966,3.9215833869512475,3,NA,2007_2014,ucod_root3
C513,I21,185,0.06468531468531469,0.1771226921559724,0.04516611650929925,3.9215833869512475,4,NA,2007_2014,ucod_root3
C513,F03,167,0.05839160839160839,0.16586621547668634,0.042295725759292226,3.9215833869512475,5,NA,2007_2014,ucod_root3
C513,G30,148,0.05174825174825175,0.15324544239418458,0.039077440735825336,3.9215833869512475,6,NA,2007_2014,ucod_root3
C513,C25,68,0.023776223776223775,0.08890094598159784,0.022669655904145394,3.9215833869512475,7,NA,2007_2014,ucod_root3
C513,C18,62,0.021678321678321677,0.08305924341386924,0.021180027355848705,3.9215833869512475,8,NA,2007_2014,ucod_root3
C513,C50,57,0.01993006993006993,0.07803669973804994,0.019899283538815156,3.9215833869512475,9,NA,2007_2014,ucod_root3
C513,I11,54,0.01888111888111888,0.07495035464737052,0.0191122685027588,3.9215833869512475,10,NA,2007_2014,ucod_root3
C514,I25,429,0.14444444444444443,0.2794798229699274,0.07067667671700426,3.954343015999318,1,NA,2007_2014,ucod_root3
C514,C34,268,0.09023569023569024,0.21704663546956843,0.05488816589542061,3.954343015999318,2,NA,2007_2014,ucod_root3
C514,I21,215,0.0723905723905724,0.19007442046762718,0.04806725660838826,3.954343015999318,3,NA,2007_2014,ucod_root3
C514,J44,203,0.06835016835016836,0.1833911058280325,0.04637713650182342,3.954343015999318,4,NA,2007_2014,ucod_root3
C514,F03,146,0.04915824915824916,0.14809957881242683,0.03745238544385609,3.954343015999318,5,NA,2007_2014,ucod_root3
C514,G30,126,0.04242424242424243,0.13406210469040528,0.033902497620461464,3.954343015999318,6,NA,2007_2014,ucod_root3
C514,C50,70,0.02356902356902357,0.08833250480886096,0.022338098756599166,3.954343015999318,7,NA,2007_2014,ucod_root3
C514,C18,70,0.02356902356902357,0.08833250480886096,0.022338098756599166,3.954343015999318,8,NA,2007_2014,ucod_root3
C514,C25,67,0.02255892255892256,0.08553496600376674,0.021630638934885333,3.954343015999318,9,NA,2007_2014,ucod_root3
C514,C61,57,0.01919191919191919,0.07587076092452698,0.019186691851858322,3.954343015999318,10,NA,2007_2014,ucod_root3
C515,I25,367,0.1356746765249538,0.2710095345522907,0.0691889924321568,3.9169458179063503,1,NA,2007_2014,ucod_root3
C515,C34,269,0.09944547134935305,0.22953464818542765,0.05860041441883319,3.9169458179063503,2,NA,2007_2014,ucod_root3
C515,J44,196,0.07245841035120149,0.19018467145353518,0.048554327860269184,3.9169458179063503,3,NA,2007_2014,ucod_root3
C515,I21,180,0.066543438077634,0.180326085497326,0.046037421470821425,3.9169458179063503,4,NA,2007_2014,ucod_root3
C515,F03,166,0.061367837338262475,0.17126961955097614,0.04372529708427818,3.9169458179063503,5,NA,2007_2014,ucod_root3
C515,G30,122,0.04510166358595194,0.13976266538956514,0.03568154166203652,3.9169458179063503,6,NA,2007_2014,ucod_root3
C515,C18,67,0.02476894639556377,0.09159964004310693,0.023385475393700474,3.9169458179063503,7,NA,2007_2014,ucod_root3
C515,C25,66,0.024399260628465803,0.09059939432560973,0.023130111708830347,3.9169458179063503,8,NA,2007_2014,ucod_root3
C515,C50,60,0.022181146025878003,0.08447717476654672,0.021567103221177737,3.9169458179063503,9,NA,2007_2014,ucod_root3
C515,I11,49,0.01811460258780037,0.07265833928477924,0.018549743259817647,3.9169458179063503,10,NA,2007_2014,ucod_root3
C516,I25,380,0.13944954128440368,0.2747229110690741,0.0702547201321344,3.9103836803047245,1,NA,2007_2014,ucod_root3
C516,C34,232,0.08513761467889908,0.20973535039266053,0.05363549143502882,3.9103836803047245,2,NA,2007_2014,ucod_root3
C516,I21,205,0.07522935779816514,0.19463442724094748,0.0497737416973314,3.9103836803047245,3,NA,2007_2014,ucod_root3
C516,J44,196,0.07192660550458715,0.18931866913097178,0.04841434616365286,3.9103836803047245,4,NA,2007_2014,ucod_root3
C516,F03,156,0.057247706422018346,0.16374949033991118,0.04187555588589984,3.9103836803047245,5,NA,2007_2014,ucod_root3
C516,G30,125,0.045871559633027525,0.1413720169630754,0.03615297845966325,3.9103836803047245,6,NA,2007_2014,ucod_root3
C516,C50,80,0.029357798165137616,0.10358009753903745,0.026488474279579073,3.9103836803047245,7,NA,2007_2014,ucod_root3
C516,C18,62,0.022752293577981652,0.08607395888706043,0.022011640269620023,3.9103836803047245,8,NA,2007_2014,ucod_root3
C516,C25,51,0.01871559633027523,0.0744580924011097,0.019041121917557566,3.9103836803047245,9,NA,2007_2014,ucod_root3
C516,C67,42,0.015412844036697248,0.06431092540557322,0.016446193177791103,3.9103836803047245,10,NA,2007_2014,ucod_root3
C517,I25,433,0.14879725085910653,0.28348415248336767,0.07157740485582723,3.960525714146352,1,NA,2007_2014,ucod_root3
C517,C34,247,0.08487972508591066,0.20935754151676206,0.052861048413085934,3.960525714146352,2,NA,2007_2014,ucod_root3
C517,J44,213,0.0731958762886598,0.1913791235117361,0.048321646499645515,3.960525714146352,3,NA,2007_2014,ucod_root3
C517,I21,210,0.07216494845360824,0.18970727635192255,0.047899518913440985,3.960525714146352,4,NA,2007_2014,ucod_root3
C517,F03,155,0.05326460481099656,0.15619756106638322,0.03943859283843834,3.960525714146352,5,NA,2007_2014,ucod_root3
C517,G30,136,0.04673539518900344,0.1431623616915499,0.03614731276209047,3.960525714146352,6,NA,2007_2014,ucod_root3
C517,C50,75,0.02577319587628866,0.09428918161415535,0.023807238841391628,3.960525714146352,7,NA,2007_2014,ucod_root3
C517,C18,62,0.021305841924398626,0.08200136991665556,0.02070466797469842,3.960525714146352,8,NA,2007_2014,ucod_root3
C517,C25,58,0.01993127147766323,0.07804020284464222,0.0197045060371393,3.960525714146352,9,NA,2007_2014,ucod_root3
C517,C61,45,0.015463917525773196,0.06447287428446213,0.016278867740758644,3.960525714146352,10,NA,2007_2014,ucod_root3
C518,I25,414,0.14722617354196302,0.2820537359706863,0.07229749248257769,3.9012934790049023,1,NA,2007_2014,ucod_root3
C518,C34,269,0.09566145092460882,0.22451167351544263,0.057548009326565334,3.9012934790049023,2,NA,2007_2014,ucod_root3
C518,I21,200,0.07112375533428165,0.1880038326018861,0.0481901281238242,3.9012934790049023,3,NA,2007_2014,ucod_root3
C518,J44,167,0.059388335704125175,0.16769231599068443,0.042983773687658454,3.9012934790049023,4,NA,2007_2014,ucod_root3
C518,F03,158,0.0561877667140825,0.16176773924067106,0.041465155111051255,3.9012934790049023,5,NA,2007_2014,ucod_root3
C518,G30,135,0.04800853485064011,0.145771985795319,0.0373650397181862,3.9012934790049023,6,NA,2007_2014,ucod_root3
